input_image,reference_image,yuv_width,yuv_height,yuv_format,yuv_bitdepth
SRC0161.yuv,SRC0161.yuv,640,480,yuv420p,8
SRC0162.yuv,SRC0162.yuv,640,480,yuv420p,8
SRC0163.yuv,SRC0163.yuv,640,480,yuv420p,8
SRC0164.yuv,SRC0164.yuv,640,480,yuv420p,8
SRC0165.yuv,SRC0165.yuv,640,480,yuv420p,8
SRC0166.yuv,SRC0166.yuv,640,480,yuv420p,8
SRC0167.yuv,SRC0167.yuv,640,480,yuv420p,8
SRC0168.yuv,SRC0168.yuv,640,480,yuv420p,8
SRC0169.yuv,SRC0169.yuv,640,480,yuv420p,8
SRC0170.yuv,SRC0170.yuv,640,480,yuv420p,8
SRC0171.yuv,SRC0171.yuv,640,480,yuv420p,8
SRC0172.yuv,SRC0172.yuv,640,480,yuv420p,8
SRC0173.yuv,SRC0173.yuv,640,480,yuv420p,8
SRC0174.yuv,SRC0174.yuv,640,480,yuv420p,8
SRC0175.yuv,SRC0175.yuv,640,480,yuv420p,8
SRC0176.yuv,SRC0176.yuv,640,480,yuv420p,8
SRC0177.yuv,SRC0177.yuv,640,480,yuv420p,8
SRC0178.yuv,SRC0178.yuv,640,480,yuv420p,8
SRC0179.yuv,SRC0179.yuv,640,480,yuv420p,8
SRC0180.yuv,SRC0180.yuv,640,480,yuv420p,8
SRC0181.yuv,SRC0181.yuv,640,480,yuv420p,8
SRC0182.yuv,SRC0182.yuv,640,480,yuv420p,8
SRC0183.yuv,SRC0183.yuv,640,480,yuv420p,8
SRC0184.yuv,SRC0184.yuv,640,480,yuv420p,8
SRC0185.yuv,SRC0185.yuv,640,480,yuv420p,8
SRC0186.yuv,SRC0186.yuv,640,480,yuv420p,8
SRC0187.yuv,SRC0187.yuv,640,480,yuv420p,8
SRC0188.yuv,SRC0188.yuv,640,480,yuv420p,8
SRC0189.yuv,SRC0189.yuv,640,480,yuv420p,8
SRC0190.yuv,SRC0190.yuv,640,480,yuv420p,8
SRC0191.yuv,SRC0191.yuv,640,480,yuv420p,8
SRC0192.yuv,SRC0192.yuv,640,480,yuv420p,8
SRC0193.yuv,SRC0193.yuv,640,480,yuv420p,8
SRC0194.yuv,SRC0194.yuv,640,480,yuv420p,8
SRC0195.yuv,SRC0195.yuv,640,480,yuv420p,8
SRC0196.yuv,SRC0196.yuv,640,480,yuv420p,8
SRC0197.yuv,SRC0197.yuv,640,480,yuv420p,8
SRC0198.yuv,SRC0198.yuv,640,480,yuv420p,8
SRC0199.yuv,SRC0199.yuv,640,480,yuv420p,8
SRC0200.yuv,SRC0200.yuv,640,480,yuv420p,8
SRC0201.yuv,SRC0201.yuv,640,480,yuv420p,8
SRC0202.yuv,SRC0202.yuv,640,480,yuv420p,8
SRC0203.yuv,SRC0203.yuv,640,480,yuv420p,8
SRC0204.yuv,SRC0204.yuv,640,480,yuv420p,8
SRC0205.yuv,SRC0205.yuv,640,480,yuv420p,8
SRC0206.yuv,SRC0206.yuv,640,480,yuv420p,8
SRC0207.yuv,SRC0207.yuv,640,480,yuv420p,8
SRC0208.yuv,SRC0208.yuv,640,480,yuv420p,8
SRC0209.yuv,SRC0209.yuv,640,480,yuv420p,8
SRC0210.yuv,SRC0210.yuv,640,480,yuv420p,8
SRC0211.yuv,SRC0211.yuv,640,480,yuv420p,8
SRC0212.yuv,SRC0212.yuv,640,480,yuv420p,8
SRC0213.yuv,SRC0213.yuv,640,480,yuv420p,8
SRC0214.yuv,SRC0214.yuv,640,480,yuv420p,8
SRC0215.yuv,SRC0215.yuv,640,480,yuv420p,8
SRC0216.yuv,SRC0216.yuv,640,480,yuv420p,8
SRC0217.yuv,SRC0217.yuv,640,480,yuv420p,8
SRC0218.yuv,SRC0218.yuv,640,480,yuv420p,8
SRC0219.yuv,SRC0219.yuv,640,480,yuv420p,8
SRC0220.yuv,SRC0220.yuv,640,480,yuv420p,8
SRC0221.yuv,SRC0221.yuv,640,480,yuv420p,8
SRC0222.yuv,SRC0222.yuv,640,480,yuv420p,8
SRC0223.yuv,SRC0223.yuv,640,480,yuv420p,8
SRC0224.yuv,SRC0224.yuv,640,480,yuv420p,8
SRC0225.yuv,SRC0225.yuv,640,480,yuv420p,8
SRC0226.yuv,SRC0226.yuv,640,480,yuv420p,8
SRC0227.yuv,SRC0227.yuv,640,480,yuv420p,8
SRC0228.yuv,SRC0228.yuv,640,480,yuv420p,8
SRC0229.yuv,SRC0229.yuv,640,480,yuv420p,8
SRC0230.yuv,SRC0230.yuv,640,480,yuv420p,8
SRC0231.yuv,SRC0231.yuv,640,480,yuv420p,8
SRC0232.yuv,SRC0232.yuv,640,480,yuv420p,8
SRC0233.yuv,SRC0233.yuv,640,480,yuv420p,8
SRC0234.yuv,SRC0234.yuv,640,480,yuv420p,8
SRC0235.yuv,SRC0235.yuv,640,480,yuv420p,8
SRC0236.yuv,SRC0236.yuv,640,480,yuv420p,8
SRC0237.yuv,SRC0237.yuv,640,480,yuv420p,8
SRC0238.yuv,SRC0238.yuv,640,480,yuv420p,8
SRC0239.yuv,SRC0239.yuv,640,480,yuv420p,8
SRC0240.yuv,SRC0240.yuv,640,480,yuv420p,8
SRC0241.yuv,SRC0241.yuv,640,480,yuv420p,8
SRC0242.yuv,SRC0242.yuv,640,480,yuv420p,8
SRC0243.yuv,SRC0243.yuv,640,480,yuv420p,8
SRC0244.yuv,SRC0244.yuv,640,480,yuv420p,8
SRC0245.yuv,SRC0245.yuv,640,480,yuv420p,8
SRC0246.yuv,SRC0246.yuv,640,480,yuv420p,8
SRC0247.yuv,SRC0247.yuv,640,480,yuv420p,8
SRC0248.yuv,SRC0248.yuv,640,480,yuv420p,8
SRC0249.yuv,SRC0249.yuv,640,480,yuv420p,8
SRC0250.yuv,SRC0250.yuv,640,480,yuv420p,8
SRC0251.yuv,SRC0251.yuv,640,480,yuv420p,8
SRC0252.yuv,SRC0252.yuv,640,480,yuv420p,8
SRC0253.yuv,SRC0253.yuv,640,480,yuv420p,8
SRC0254.yuv,SRC0254.yuv,640,480,yuv420p,8
SRC0255.yuv,SRC0255.yuv,640,480,yuv420p,8
SRC0256.yuv,SRC0256.yuv,640,480,yuv420p,8
SRC0257.yuv,SRC0257.yuv,640,480,yuv420p,8
SRC0258.yuv,SRC0258.yuv,640,480,yuv420p,8
SRC0259.yuv,SRC0259.yuv,640,480,yuv420p,8
SRC0260.yuv,SRC0260.yuv,640,480,yuv420p,8
SRC0261.yuv,SRC0261.yuv,640,480,yuv420p,8
SRC0262.yuv,SRC0262.yuv,640,480,yuv420p,8
SRC0263.yuv,SRC0263.yuv,640,480,yuv420p,8
SRC0264.yuv,SRC0264.yuv,640,480,yuv420p,8
SRC0265.yuv,SRC0265.yuv,640,480,yuv420p,8
SRC0266.yuv,SRC0266.yuv,640,480,yuv420p,8
SRC0267.yuv,SRC0267.yuv,640,480,yuv420p,8
SRC0268.yuv,SRC0268.yuv,640,480,yuv420p,8
SRC0269.yuv,SRC0269.yuv,640,480,yuv420p,8
SRC0270.yuv,SRC0270.yuv,640,480,yuv420p,8
SRC0271.yuv,SRC0271.yuv,640,480,yuv420p,8
SRC0272.yuv,SRC0272.yuv,640,480,yuv420p,8
SRC0273.yuv,SRC0273.yuv,640,480,yuv420p,8
SRC0274.yuv,SRC0274.yuv,640,480,yuv420p,8
SRC0275.yuv,SRC0275.yuv,640,480,yuv420p,8
SRC0276.yuv,SRC0276.yuv,640,480,yuv420p,8
SRC0277.yuv,SRC0277.yuv,640,480,yuv420p,8
SRC0278.yuv,SRC0278.yuv,640,480,yuv420p,8
SRC0279.yuv,SRC0279.yuv,640,480,yuv420p,8
SRC0280.yuv,SRC0280.yuv,640,480,yuv420p,8
SRC0281.yuv,SRC0281.yuv,640,480,yuv420p,8
SRC0282.yuv,SRC0282.yuv,640,480,yuv420p,8
SRC0283.yuv,SRC0283.yuv,640,480,yuv420p,8
SRC0284.yuv,SRC0284.yuv,640,480,yuv420p,8
SRC0285.yuv,SRC0285.yuv,640,480,yuv420p,8
SRC0286.yuv,SRC0286.yuv,640,480,yuv420p,8
SRC0287.yuv,SRC0287.yuv,640,480,yuv420p,8
SRC0288.yuv,SRC0288.yuv,640,480,yuv420p,8
SRC0289.yuv,SRC0289.yuv,640,480,yuv420p,8
SRC0290.yuv,SRC0290.yuv,640,480,yuv420p,8
SRC0291.yuv,SRC0291.yuv,640,480,yuv420p,8
SRC0292.yuv,SRC0292.yuv,640,480,yuv420p,8
SRC0293.yuv,SRC0293.yuv,640,480,yuv420p,8
SRC0294.yuv,SRC0294.yuv,640,480,yuv420p,8
SRC0295.yuv,SRC0295.yuv,640,480,yuv420p,8
SRC0296.yuv,SRC0296.yuv,640,480,yuv420p,8
SRC0297.yuv,SRC0297.yuv,640,480,yuv420p,8
SRC0298.yuv,SRC0298.yuv,640,480,yuv420p,8
SRC0299.yuv,SRC0299.yuv,640,480,yuv420p,8
SRC0300.yuv,SRC0300.yuv,640,480,yuv420p,8
SRC0301.yuv,SRC0301.yuv,640,480,yuv420p,8
SRC0302.yuv,SRC0302.yuv,640,480,yuv420p,8
SRC0303.yuv,SRC0303.yuv,640,480,yuv420p,8
SRC0304.yuv,SRC0304.yuv,640,480,yuv420p,8
SRC0305.yuv,SRC0305.yuv,640,480,yuv420p,8
SRC0306.yuv,SRC0306.yuv,640,480,yuv420p,8
SRC0307.yuv,SRC0307.yuv,640,480,yuv420p,8
SRC0308.yuv,SRC0308.yuv,640,480,yuv420p,8
SRC0309.yuv,SRC0309.yuv,640,480,yuv420p,8
SRC0310.yuv,SRC0310.yuv,640,480,yuv420p,8
SRC0311.yuv,SRC0311.yuv,640,480,yuv420p,8
SRC0312.yuv,SRC0312.yuv,640,480,yuv420p,8
SRC0313.yuv,SRC0313.yuv,640,480,yuv420p,8
SRC0314.yuv,SRC0314.yuv,640,480,yuv420p,8
SRC0315.yuv,SRC0315.yuv,640,480,yuv420p,8
SRC0316.yuv,SRC0316.yuv,640,480,yuv420p,8
SRC0317.yuv,SRC0317.yuv,640,480,yuv420p,8
SRC0318.yuv,SRC0318.yuv,640,480,yuv420p,8
SRC0319.yuv,SRC0319.yuv,640,480,yuv420p,8
SRC0320.yuv,SRC0320.yuv,640,480,yuv420p,8
SRC0321.yuv,SRC0321.yuv,640,480,yuv420p,8
SRC0322.yuv,SRC0322.yuv,640,480,yuv420p,8
SRC0323.yuv,SRC0323.yuv,640,480,yuv420p,8
SRC0324.yuv,SRC0324.yuv,640,480,yuv420p,8
SRC0325.yuv,SRC0325.yuv,640,480,yuv420p,8
SRC0326.yuv,SRC0326.yuv,640,480,yuv420p,8
SRC0327.yuv,SRC0327.yuv,640,480,yuv420p,8
SRC0328.yuv,SRC0328.yuv,640,480,yuv420p,8
SRC0329.yuv,SRC0329.yuv,640,480,yuv420p,8
SRC0330.yuv,SRC0330.yuv,640,480,yuv420p,8
SRC0331.yuv,SRC0331.yuv,640,480,yuv420p,8
SRC0332.yuv,SRC0332.yuv,640,480,yuv420p,8
SRC0333.yuv,SRC0333.yuv,640,480,yuv420p,8
SRC0334.yuv,SRC0334.yuv,640,480,yuv420p,8
SRC0335.yuv,SRC0335.yuv,640,480,yuv420p,8
SRC0336.yuv,SRC0336.yuv,640,480,yuv420p,8
SRC0337.yuv,SRC0337.yuv,640,480,yuv420p,8
SRC0338.yuv,SRC0338.yuv,640,480,yuv420p,8
SRC0339.yuv,SRC0339.yuv,640,480,yuv420p,8
SRC0340.yuv,SRC0340.yuv,640,480,yuv420p,8
SRC0341.yuv,SRC0341.yuv,640,480,yuv420p,8
SRC0342.yuv,SRC0342.yuv,640,480,yuv420p,8
SRC0343.yuv,SRC0343.yuv,640,480,yuv420p,8
SRC0344.yuv,SRC0344.yuv,640,480,yuv420p,8
SRC0345.yuv,SRC0345.yuv,640,480,yuv420p,8
SRC0346.yuv,SRC0346.yuv,640,480,yuv420p,8
SRC0347.yuv,SRC0347.yuv,640,480,yuv420p,8
SRC0348.yuv,SRC0348.yuv,640,480,yuv420p,8
SRC0349.yuv,SRC0349.yuv,640,480,yuv420p,8
SRC0350.yuv,SRC0350.yuv,640,480,yuv420p,8
SRC0351.yuv,SRC0351.yuv,640,480,yuv420p,8
SRC0352.yuv,SRC0352.yuv,640,480,yuv420p,8
SRC0353.yuv,SRC0353.yuv,640,480,yuv420p,8
SRC0354.yuv,SRC0354.yuv,640,480,yuv420p,8
SRC0355.yuv,SRC0355.yuv,640,480,yuv420p,8
SRC0356.yuv,SRC0356.yuv,640,480,yuv420p,8
SRC0357.yuv,SRC0357.yuv,640,480,yuv420p,8
SRC0358.yuv,SRC0358.yuv,640,480,yuv420p,8
SRC0359.yuv,SRC0359.yuv,640,480,yuv420p,8
SRC0360.yuv,SRC0360.yuv,640,480,yuv420p,8
SRC0361.yuv,SRC0361.yuv,640,480,yuv420p,8
SRC0362.yuv,SRC0362.yuv,640,480,yuv420p,8
SRC0363.yuv,SRC0363.yuv,640,480,yuv420p,8
SRC0364.yuv,SRC0364.yuv,640,480,yuv420p,8
SRC0365.yuv,SRC0365.yuv,640,480,yuv420p,8
SRC0366.yuv,SRC0366.yuv,640,480,yuv420p,8
SRC0367.yuv,SRC0367.yuv,640,480,yuv420p,8
SRC0368.yuv,SRC0368.yuv,640,480,yuv420p,8
SRC0369.yuv,SRC0369.yuv,640,480,yuv420p,8
SRC0370.yuv,SRC0370.yuv,640,480,yuv420p,8
SRC0371.yuv,SRC0371.yuv,640,480,yuv420p,8
SRC0372.yuv,SRC0372.yuv,640,480,yuv420p,8
SRC0373.yuv,SRC0373.yuv,640,480,yuv420p,8
SRC0374.yuv,SRC0374.yuv,640,480,yuv420p,8
SRC0375.yuv,SRC0375.yuv,640,480,yuv420p,8
SRC0376.yuv,SRC0376.yuv,640,480,yuv420p,8
SRC0377.yuv,SRC0377.yuv,640,480,yuv420p,8
SRC0378.yuv,SRC0378.yuv,640,480,yuv420p,8
SRC0379.yuv,SRC0379.yuv,640,480,yuv420p,8
SRC0380.yuv,SRC0380.yuv,640,480,yuv420p,8
SRC0381.yuv,SRC0381.yuv,640,480,yuv420p,8
SRC0382.yuv,SRC0382.yuv,640,480,yuv420p,8
SRC0383.yuv,SRC0383.yuv,640,480,yuv420p,8
SRC0384.yuv,SRC0384.yuv,640,480,yuv420p,8
SRC0385.yuv,SRC0385.yuv,640,480,yuv420p,8
SRC0386.yuv,SRC0386.yuv,640,480,yuv420p,8
SRC0387.yuv,SRC0387.yuv,640,480,yuv420p,8
SRC0388.yuv,SRC0388.yuv,640,480,yuv420p,8
SRC0389.yuv,SRC0389.yuv,640,480,yuv420p,8
SRC0390.yuv,SRC0390.yuv,640,480,yuv420p,8
SRC0391.yuv,SRC0391.yuv,640,480,yuv420p,8
SRC0392.yuv,SRC0392.yuv,640,480,yuv420p,8
SRC0393.yuv,SRC0393.yuv,640,480,yuv420p,8
SRC0394.yuv,SRC0394.yuv,640,480,yuv420p,8
SRC0395.yuv,SRC0395.yuv,640,480,yuv420p,8
SRC0396.yuv,SRC0396.yuv,640,480,yuv420p,8
SRC0397.yuv,SRC0397.yuv,640,480,yuv420p,8
SRC0398.yuv,SRC0398.yuv,640,480,yuv420p,8
SRC0399.yuv,SRC0399.yuv,640,480,yuv420p,8
SRC0400.yuv,SRC0400.yuv,640,480,yuv420p,8
SRC0401.yuv,SRC0401.yuv,640,480,yuv420p,8
SRC0402.yuv,SRC0402.yuv,640,480,yuv420p,8
SRC0403.yuv,SRC0403.yuv,640,480,yuv420p,8
SRC0404.yuv,SRC0404.yuv,640,480,yuv420p,8
SRC0405.yuv,SRC0405.yuv,640,480,yuv420p,8
SRC0406.yuv,SRC0406.yuv,640,480,yuv420p,8
SRC0407.yuv,SRC0407.yuv,640,480,yuv420p,8
SRC0408.yuv,SRC0408.yuv,640,480,yuv420p,8
SRC0409.yuv,SRC0409.yuv,640,480,yuv420p,8
SRC0410.yuv,SRC0410.yuv,640,480,yuv420p,8
SRC0411.yuv,SRC0411.yuv,640,480,yuv420p,8
SRC0412.yuv,SRC0412.yuv,640,480,yuv420p,8
SRC0413.yuv,SRC0413.yuv,640,480,yuv420p,8
SRC0414.yuv,SRC0414.yuv,640,480,yuv420p,8
SRC0415.yuv,SRC0415.yuv,640,480,yuv420p,8
SRC0416.yuv,SRC0416.yuv,640,480,yuv420p,8
SRC0417.yuv,SRC0417.yuv,640,480,yuv420p,8
SRC0418.yuv,SRC0418.yuv,640,480,yuv420p,8
SRC0419.yuv,SRC0419.yuv,640,480,yuv420p,8
SRC0420.yuv,SRC0420.yuv,640,480,yuv420p,8
SRC0421.yuv,SRC0421.yuv,640,480,yuv420p,8
SRC0422.yuv,SRC0422.yuv,640,480,yuv420p,8
SRC0423.yuv,SRC0423.yuv,640,480,yuv420p,8
SRC0424.yuv,SRC0424.yuv,640,480,yuv420p,8
SRC0425.yuv,SRC0425.yuv,640,480,yuv420p,8
SRC0426.yuv,SRC0426.yuv,640,480,yuv420p,8
SRC0427.yuv,SRC0427.yuv,640,480,yuv420p,8
SRC0428.yuv,SRC0428.yuv,640,480,yuv420p,8
SRC0429.yuv,SRC0429.yuv,640,480,yuv420p,8
SRC0430.yuv,SRC0430.yuv,640,480,yuv420p,8
SRC0431.yuv,SRC0431.yuv,640,480,yuv420p,8
SRC0432.yuv,SRC0432.yuv,640,480,yuv420p,8
SRC0433.yuv,SRC0433.yuv,640,480,yuv420p,8
SRC0434.yuv,SRC0434.yuv,640,480,yuv420p,8
SRC0435.yuv,SRC0435.yuv,640,480,yuv420p,8
